raw_time,quantized_time,offset_ms,bar,beat,step,strength,low,mid,high,accent
0.0058,0.0058,-0.000,1,1,1,0.2774,0.3048,0.0000,0.0000,0
0.1219,0.1175,4.350,1,1,2,0.2082,0.0000,0.4078,0.1960,0
0.1858,0.2293,-43.500,1,1,3,0.1384,0.0716,0.2585,0.0000,0
0.2322,0.2293,2.900,1,1,3,0.2473,0.0921,0.2642,0.4885,0
0.3077,0.3410,-33.350,1,1,4,0.1686,0.0993,0.3012,0.0000,0
0.3541,0.3410,13.050,1,1,4,0.1536,0.0808,0.2854,0.0000,0
0.4063,0.4528,-46.500,1,2,5,0.1601,0.1156,0.2555,0.0055,0
0.4528,0.4528,0.000,1,2,5,1.0000,1.0000,0.5701,0.1020,1
0.5224,0.5704,-47.950,1,2,6,0.1342,0.0000,0.2840,0.0036,0
0.5921,0.5704,21.750,1,2,6,0.1724,0.0000,0.3262,0.1921,0
0.6444,0.6879,-43.500,1,2,7,0.1736,0.1180,0.2886,0.0000,0
0.6908,0.6879,2.900,1,2,7,0.2838,0.1094,0.3205,0.5432,0
0.7430,0.6879,55.100,1,2,7,0.1498,0.1034,0.2466,0.0000,0
0.7895,0.8054,-15.950,1,2,8,0.1708,0.1204,0.2774,0.0000,0
0.8359,0.8054,30.450,1,2,8,0.1709,0.1119,0.2903,0.0019,0
0.9230,0.9230,0.000,1,3,9,0.9992,1.0000,0.5607,0.1157,1
1.0043,1.0406,-36.250,1,3,10,0.1324,0.0000,0.2802,0.0035,0
1.0565,1.0406,15.950,1,3,10,0.2013,0.0000,0.3934,0.1923,0
1.1029,1.1581,-55.200,1,3,11,0.1344,0.0607,0.2594,0.0024,0
1.1668,1.1581,8.700,1,3,11,0.2296,0.0589,0.0000,0.5555,0
1.2190,1.2756,-56.650,1,3,12,0.1630,0.1075,0.2759,0.0000,0
1.2713,1.2756,-4.350,1,3,12,0.1519,0.1035,0.2523,0.0000,0
1.3177,1.2756,42.050,1,3,12,0.1683,0.1148,0.2793,0.0000,0
1.3932,1.3932,0.000,1,4,13,0.9484,0.9705,0.7222,0.1254,1
1.5325,1.5108,21.750,1,4,14,0.2015,0.0000,0.4004,0.1726,0
1.6312,1.6283,2.900,1,4,15,0.2839,0.1080,0.2699,0.5816,0
1.8634,1.8634,0.000,2,1,1,0.9552,0.8914,1.0000,0.1320,1
1.9969,1.9795,17.400,2,1,2,0.2082,0.0000,0.4078,0.1960,0
2.0608,2.0956,-34.800,2,1,3,0.1384,0.0716,0.2585,0.0000,0
2.1072,2.0956,11.600,2,1,3,0.2473,0.0921,0.2642,0.4885,0
2.1827,2.2117,-29.000,2,1,4,0.1686,0.0993,0.3012,0.0000,0
2.2291,2.2117,17.400,2,1,4,0.1536,0.0808,0.2854,0.0000,0
2.2814,2.3278,-46.400,2,2,5,0.1601,0.1156,0.2555,0.0055,0
2.3278,2.3278,0.000,2,2,5,1.0000,1.0000,0.5701,0.1020,1
2.3975,2.4453,-47.850,2,2,6,0.1342,0.0000,0.2840,0.0036,0
2.4671,2.4453,21.750,2,2,6,0.1724,0.0000,0.3262,0.1921,0
2.5194,2.5629,-43.500,2,2,7,0.1736,0.1180,0.2886,0.0000,0
2.5658,2.5629,2.900,2,2,7,0.2838,0.1094,0.3205,0.5432,0
2.6180,2.5629,55.100,2,2,7,0.1498,0.1034,0.2466,0.0000,0
2.6645,2.6804,-15.950,2,2,8,0.1708,0.1204,0.2774,0.0000,0
2.7109,2.6804,30.450,2,2,8,0.1709,0.1119,0.2903,0.0019,0
2.7980,2.7980,0.000,2,3,9,0.9992,1.0000,0.5607,0.1157,1
2.8793,2.9156,-36.250,2,3,10,0.1324,0.0000,0.2802,0.0035,0
2.9315,2.9156,15.950,2,3,10,0.2013,0.0000,0.3934,0.1923,0
2.9780,3.0331,-55.100,2,3,11,0.1344,0.0607,0.2594,0.0024,0
3.0418,3.0331,8.700,2,3,11,0.2296,0.0589,0.0000,0.5555,0
3.0941,3.1507,-56.550,2,3,12,0.1630,0.1075,0.2759,0.0000,0
